0,1,2,3,4,5,6
-2.0279,-0.78099,0.60994,2,2,1,1
0.7252,-0.15055,0.022667,1,1,1,1
-0.14296,0.11002,0.012104,1,1,1,1
0.98357,0.006059,3.6712e-05,2,2,1,1
-2.4577,-0.15167,0.023004,1,2,1,1
0.58287,-0.36151,0.13069,2,2,1,1
-0.11378,0.1118,0.012499,2,1,1,1
0.10764,0.63449,0.40257,2,1,1,1
-0.19832,1.0016,1.0032,1,1,1,1
2.8055,1.0548,1.1126,1,2,1,1
-1.5142,0.16369,0.026794,1,1,1,1
-2.1405,0.0053364,2.8477e-05,1,2,1,1
-1.7252,-0.30967,0.095896,1,1,1,1
-1.9068,1.7358,3.013,1,2,1,1
-0.38164,0.32034,0.10262,1,2,1,1
-2.9256,-1.1476,1.3171,2,1,1,1
-0.15234,-0.098909,0.009783,2,2,1,1
-0.69692,-0.098849,0.0097712,1,2,1,1
0.34633,-0.15161,0.022986,2,1,1,1
0.29994,-0.51848,0.26882,1,2,1,1
-0.98739,-0.46586,0.21703,2,1,1,1
-3.1725,0.68805,0.47342,1,2,1,1
-2.1513,-0.36073,0.13012,1,2,1,1
-0.77674,-0.30891,0.095428,2,2,1,1
0.45234,0.058143,0.0033806,2,1,1,1
0.60951,0.11012,0.012126,2,1,1,1
0.86666,-0.20361,0.041458,1,2,1,1
0.14071,-0.25648,0.065781,2,1,1,1
-2.5994,0.16282,0.02651,1,2,1,1
-1.6309,-0.93811,0.88006,2,2,1,1
-2.2432,-0.41386,0.17128,1,2,1,1
0.68943,-0.72851,0.53073,1,1,1,1
-0.41785,-0.9383,0.88042,2,1,1,1
-2.3882,-1.0943,1.1976,2,2,1,1
-0.88395,-0.25596,0.065515,1,1,1,1
-3.2661,1.8408,3.3884,1,1,1,1
-0.45103,0.42538,0.18095,1,1,1,1
1.0224,0.74012,0.54778,1,1,1,1
-0.74406,0.0059913,3.5895e-05,1,2,1,1
-1.3746,0.4779,0.22838,2,2,1,1
0.52327,-0.9379,0.87965,2,2,1,1
-0.78967,1.159,1.3433,1,1,1,1
1.1203,-0.41364,0.1711,1,1,1,1
1.7939,0.11014,0.012131,2,1,1,1
-2.0071,-0.36095,0.13028,1,2,1,1
