0,1,2,3,4,5,6
1.2949,-0.36007,0.12965,1,1,1,2
-0.13513,-1.1996,1.4389,2,2,1,1
0.48056,-0.25692,0.06601,1,1,1,1
-0.0083125,0.16304,0.026581,1,2,1,2
1.2369,-0.57082,0.32584,2,2,1,1
0.67707,-0.57166,0.32679,2,2,1,1
-0.30045,-1.7243,2.9734,2,2,1,2
-0.50425,-0.46616,0.21731,1,1,1,2
-0.26906,-0.30853,0.09519,1,2,1,1
0.10938,-0.8338,0.69522,1,2,1,2
0.86544,-1.2523,1.5683,1,2,1,1
0.93378,-0.097791,0.009563,2,1,1,1
1.6454,0.79182,0.62698,2,1,1,2
0.77247,-0.25489,0.064969,1,2,1,2
0.37648,-1.5151,2.2956,2,1,1,2
-0.10182,0.11041,0.01219,2,1,1,1
0.21868,0.0060785,3.6949e-05,2,1,1,2
-0.4812,-0.88489,0.78303,2,2,1,2
1.1341,-0.62403,0.38941,1,1,1,1
0.6347,-0.15144,0.022935,1,2,1,1
0.035435,-1.1476,1.317,2,1,1,2
0.12458,0.057621,0.0033202,1,2,1,2
0.021633,-0.99069,0.98147,1,1,1,1
0.48486,0.47682,0.22735,1,2,1,2
-1.3436,-0.046305,0.0021442,2,2,1,2
0.033147,-0.20382,0.041544,1,1,1,1
1.0787,-0.047331,0.0022402,1,2,1,1
2.725,2.3127,5.3484,1,1,1,2
1.1082,0.16253,0.026416,1,1,1,2
-0.37572,-0.41405,0.17144,2,2,1,1
0.046742,-1.3569,1.8412,2,1,1,1
1.3983,0.84468,0.71349,1,1,1,1
-0.061934,-0.67602,0.45701,2,2,1,1
-1.3618,-0.73017,0.53314,2,2,1,2
0.08619,-1.0944,1.1976,2,2,1,1
-0.072619,-0.3095,0.095791,2,2,1,1
-0.13351,0.68764,0.47285,1,2,1,2
-0.11663,-1.4621,2.1378,2,2,1,1
1.0992,-0.20383,0.041548,1,2,1,1
0.86595,-0.88548,0.78408,2,2,1,2
-1.5313,0.16298,0.026562,1,2,1,2
-0.81474,-1.2,1.4401,2,2,1,2
-0.46985,0.05823,0.0033908,1,1,1,1
1.9448,0.84427,0.71279,1,1,1,2
-0.5038,-0.83362,0.69492,1,1,1,1
-1.4536,-0.88524,0.78364,2,1,1,2
0.069596,0.37372,0.13966,2,1,1,2
-0.96999,-0.62373,0.38903,2,1,1,2
-0.65141,-0.098392,0.0096811,1,2,1,2
-0.74484,-0.36118,0.13045,2,1,1,2
-0.93889,1.2637,1.5968,1,1,1,2
-0.64772,-0.51842,0.26876,2,1,1,2
1.4781,0.37236,0.13865,1,2,1,2
0.34515,-0.72796,0.52992,1,2,1,1
0.027637,-0.4665,0.21762,2,2,1,2
-0.22251,0.37294,0.13908,1,1,1,2
0.84687,-0.20378,0.041527,2,1,1,1
-0.982,-0.93778,0.87942,1,2,1,2
-0.71248,-0.10041,0.010083,2,2,1,2
1.5911,0.057813,0.0033423,1,1,1,1
0.64478,-0.9384,0.8806,2,1,1,2
0.22121,-0.56937,0.32418,2,1,1,1
0.66753,-0.41282,0.17042,1,2,1,1
0.63686,-0.046431,0.0021559,1,1,1,2
-1.1694,-0.25591,0.065492,1,1,1,2
-0.77758,0.058585,0.0034322,2,1,1,1
0.60844,-0.93846,0.88071,1,1,1,1
1.4752,-1.3052,1.7036,2,1,1,1
-0.34436,-0.93779,0.87944,2,2,1,2
-0.22919,0.42524,0.18083,1,1,1,1
1.7047,0.73911,0.54629,2,1,1,1
-0.92659,0.16411,0.026931,2,1,1,1
1.5838,-0.51863,0.26898,1,2,1,1
0.18219,-0.72818,0.53024,1,2,1,1
-0.33749,-0.88485,0.78296,2,2,1,2
-0.79549,1.0027,1.0054,2,1,1,2
-0.078379,-0.67579,0.45669,1,1,1,1
-1.3861,1.9453,3.7844,1,2,1,2
1.3611,-0.67547,0.45626,2,1,1,1
1.4687,-0.41387,0.17129,2,1,1,2
0.22747,0.057033,0.0032528,2,1,1,2
0.49163,-0.098567,0.0097154,1,2,1,2
-0.98723,0.89732,0.80518,1,1,1,2
-0.11181,-0.15173,0.023021,1,2,1,2
-0.43782,0.21587,0.0466,1,1,1,1
0.34739,-0.46607,0.21722,1,2,1,1
-0.87572,-0.30902,0.095495,1,1,1,1
-0.85779,-0.51864,0.26899,2,2,1,1
0.093995,-0.46635,0.21748,1,1,1,2
0.25566,-0.88538,0.78389,2,2,1,2
0.27134,-0.93761,0.87912,2,2,1,1
-0.05826,-0.6233,0.3885,1,2,1,1
-0.066054,-0.72766,0.52949,1,1,1,1
-1.0794,-0.30793,0.094822,2,2,1,2
1.3075,-0.72856,0.53079,1,2,1,1
0.21121,-0.51894,0.2693,2,2,1,2
-0.77058,-0.046658,0.002177,1,2,1,2
-0.62649,-0.88535,0.78384,1,2,1,1
-0.4899,0.47723,0.22775,2,1,1,1
-0.34014,0.0045034,2.0281e-05,2,1,1,2
1.5081,-0.51824,0.26857,1,2,1,2
0.24055,0.16309,0.026597,1,2,1,1
-0.19424,-0.30917,0.095588,2,2,1,1
0.70478,-0.15095,0.022786,1,2,1,1
0.58137,0.42497,0.1806,2,1,1,2
0.070318,-0.46601,0.21716,2,2,1,2
0.1336,-1.0429,1.0877,2,2,1,2
0.085158,-0.7802,0.60871,2,1,1,2
0.057753,-0.36092,0.13026,2,1,1,2
2.4936,1.8934,3.5851,1,1,1,2
0.37963,-0.25667,0.065877,1,2,1,2
0.58705,-0.93783,0.87953,2,1,1,1
0.82896,0.42521,0.1808,2,1,1,1
0.35028,0.16333,0.026678,2,2,1,2
-0.24262,-0.15096,0.022788,1,1,1,1
0.37309,-0.20389,0.04157,1,1,1,1
1.3616,-0.3611,0.1304,1,1,1,1
0.14502,0.37323,0.1393,1,1,1,1
-0.77322,0.11079,0.012275,2,1,1,1
-0.18837,0.6365,0.40514,1,2,1,1
0.64282,1.6837,2.835,1,1,1,1
-1.5446,-0.83339,0.69453,2,2,1,2
-0.36167,-0.67626,0.45733,2,2,1,2
0.80203,-0.72865,0.53093,2,2,1,2
-0.84908,-1.0961,1.2014,1,2,1,1
0.62455,-0.88479,0.78286,2,1,1,2
-1.1175,-0.2577,0.066411,1,1,1,1
1.4794,-0.676,0.45697,2,2,1,2
-0.75168,-0.78115,0.6102,2,1,1,1
-0.95994,6.7698,45.83,1,1,1,2
-0.14193,-0.93805,0.87995,2,1,1,1
0.05292,-0.57086,0.32588,2,2,1,1
1.3734,1.4212,2.0197,1,1,1,1
-1.4588,-0.88567,0.78442,2,2,1,2
-1.1216,0.058758,0.0034525,1,1,1,2
-1.1007,-1.5669,2.4553,2,2,1,2
0.30174,0.26774,0.071683,1,2,1,2
-0.073589,-0.62307,0.38821,1,2,1,1
1.0594,-0.41414,0.17151,2,2,1,1
0.35391,2.4177,5.8452,2,1,1,2
1.8622,-0.46684,0.21794,1,2,1,2
